id,title,overview,year,vote_average,vote_count,original_language,popularity,genres,genre_ids,poster_path
1062722,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",2025,7.77,1850,en,275.5065,"['Drama', 'Horror', 'Fantasy']","[18, 27, 14]",/g4JtvGlQO7DByTI6frUobqvSL3R.jpg
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",2025,7.493,1627,en,199.2569,"['Action', 'Thriller', 'Crime']","[28, 53, 80]",/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg
967941,Wicked: For Good,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",2025,6.764,227,en,207.2776,"['Fantasy', 'Adventure', 'Romance']","[14, 12, 10749]",/si9tolnefLSUKaqQEGz1bWArOaL.jpg
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",2025,4.292,753,en,175.342,"['Science Fiction', 'Thriller']","[878, 53]",/yvirUYrva23IudARHn3mMGVxWqM.jpg
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",2025,7.4,437,en,173.7317,"['Action', 'Science Fiction', 'Adventure']","[28, 878, 12]",/ef2QSeBkrYhAdfsWGXmp0lvH0T1.jpg
1248226,Playdate,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",2025,6.155,297,en,141.5693,"['Action', 'Comedy', 'Family']","[28, 35, 10751]",/fGodXWqJkkkbSebPIlxLSygV8GY.jpg
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2025,7.595,575,ja,130.6585,"['Animation', 'Action', 'Fantasy', 'Thriller']","[16, 28, 14, 53]",/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg
425274,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",2025,6.206,250,en,134.3006,"['Thriller', 'Crime', 'Mystery']","[53, 80, 9648]",/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg
1197137,Black Phone 2,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",2025,6.853,594,en,117.0052,"['Horror', 'Thriller']","[27, 53]",/gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",2002,6.0,4672,en,98.5407,"['Action', 'Adventure', 'Thriller', 'Crime', 'Drama']","[28, 12, 53, 80, 18]",/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg
1218925,Chainsaw Man - The Movie: Reze Arc,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",2025,7.827,217,ja,91.3711,"['Animation', 'Action', 'Romance', 'Fantasy']","[16, 28, 10749, 14]",/xdzLBZjCVSEsic7m7nJc4jNJZVW.jpg
803796,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",2025,8.2,1940,en,90.8697,"['Fantasy', 'Music', 'Comedy', 'Animation']","[14, 10402, 35, 16]",/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg
1265063,After the Hunt,"A college professor finds herself at a personal and professional crossroads when a star pupil levels an accusation against one of her colleagues, and a dark secret from her own past threatens to come to light.",2025,6.016,215,en,77.9478,['Drama'],[18],/ryF8QPGUGlo8gRB4OYKb4J0r3aJ.jpg
402431,Wicked,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",2024,6.9,2590,en,76.2999,"['Drama', 'Romance', 'Fantasy']","[18, 10749, 14]",/dfdvUzj4nLZpZ37BoefqvevCMI1.jpg
701387,Bugonia,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",2025,7.678,396,en,80.1398,"['Science Fiction', 'Crime', 'Thriller']","[878, 80, 53]",/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg
1038392,The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,2025,7.0,1348,en,72.0762,['Horror'],[27],/wKwkBuglQtJeNQaLTWzX5SdYvPf.jpg
617126,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025,7.044,2485,en,71.5603,"['Science Fiction', 'Adventure', 'Action']","[878, 12, 28]",/pZPJsaFKWheTOerVhLnpP8TPp4B.jpg
1242419,Roofman,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname 'Roofman'. After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",2025,7.191,207,en,58.6507,"['Comedy', 'Drama', 'Crime']","[35, 18, 80]",/uhXxW7EmzZIWFVpbF42r6L2g7Oh.jpg
575265,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",2025,7.26,2112,en,59.3954,"['Action', 'Thriller']","[28, 53]",/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg
1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",2025,7.4,3865,en,49.4585,"['Science Fiction', 'Adventure', 'Action']","[878, 12, 28]",/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg
1234821,Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",2025,6.38,2527,en,51.0666,"['Science Fiction', 'Adventure', 'Action']","[878, 12, 28]",/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg
1029575,The Family Plan,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",2023,7.246,1681,en,48.6541,"['Action', 'Comedy', 'Family']","[28, 35, 10751]",/jLLtx3nTRSLGPAKl4RoIv1FbEBr.jpg
1010581,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",2023,7.764,3923,es,47.8575,"['Drama', 'Romance', 'Thriller']","[18, 10749, 53]",/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
